회차,추첨일,1등,1번,2번,3번,4번,5번,6번
505,2012.08.04,"1,917,955,188원",7,20,22,25,38,40
504,2012.07.28,"1,443,236,959원",6,14,22,26,43,44
503,2012.07.21,"1,853,634,911원",1,5,27,30,34,36
502,2012.07.14,"2,201,458,125원",6,22,28,32,34,40
501,2012.07.07,"3,025,200,094원",1,4,10,17,31,42
500,2012.06.30,"1,351,072,375원",3,4,12,20,24,34
499,2012.06.23,"4,070,480,250원",5,20,23,27,35,40
498,2012.06.16,"3,244,503,094원",13,14,24,32,39,41
497,2012.06.09,"2,222,817,813원",19,20,23,24,43,44
496,2012.06.02,"3,285,932,250원",4,13,20,29,36,41
495,2012.05.26,"2,111,645,000원",4,13,22,27,34,44
494,2012.05.19,"1,054,588,407원",5,7,8,15,30,43
493,2012.05.12,"1,451,120,334원",20,22,26,33,36,37
492,2012.05.05,"2,493,013,800원",22,27,31,35,37,40
491,2012.04.28,"3,304,634,438원",8,17,35,36,39,42
490,2012.04.21,"1,860,234,161원",2,7,26,29,40,43
489,2012.04.14,"2,106,360,625원",2,4,8,15,20,27
488,2012.04.07,"1,330,393,575원",2,8,17,30,31,38
487,2012.03.31,"1,638,830,766원",4,8,25,27,37,41
486,2012.03.24,"1,008,634,125원",1,2,23,25,38,40
485,2012.03.17,"1,501,474,917원",17,22,26,27,36,39
484,2012.03.10,"2,305,303,063원",1,3,27,28,32,45
483,2012.03.03,"2,567,196,675원",12,15,19,22,28,34
482,2012.02.25,"1,897,921,179원",1,10,16,24,25,35
481,2012.02.18,"4,639,355,750원",3,4,23,29,40,41
480,2012.02.11,"2,996,742,282원",3,5,10,17,30,31
479,2012.02.04,"2,233,046,500원",8,23,25,27,35,44
478,2012.01.28,"987,224,759원",18,29,30,37,39,43
477,2012.01.21,"1,919,011,829원",14,25,29,32,33,45
476,2012.01.14,"3,439,851,469원",9,12,13,15,37,38
475,2012.01.07,"1,693,923,047원",1,9,14,16,21,29
474,2011.12.31,"936,690,800원",4,13,18,31,33,45
473,2011.12.24,"3,250,418,063원",8,13,20,22,23,36
472,2011.12.17,"1,809,656,090원",16,25,26,31,36,43
471,2011.12.10,"1,939,332,858원",6,13,29,37,39,41
470,2011.12.03,"4,333,330,625원",10,16,20,39,41,42
469,2011.11.26,"3,330,131,250원",4,21,22,34,37,38
468,2011.11.19,"1,527,197,167원",8,13,15,28,37,43
467,2011.11.12,"1,435,441,084원",2,12,14,17,24,40
466,2011.11.05,"1,530,313,459원",4,10,13,23,32,44
465,2011.10.29,"1,923,662,893원",1,8,11,13,22,38
464,2011.10.22,"3,355,721,106원",6,12,15,34,42,44
463,2011.10.15,0원,23,29,31,33,34,44
462,2011.10.08,"1,483,559,297원",3,20,24,32,37,45
461,2011.10.01,"1,948,674,875원",11,18,26,31,37,40
460,2011.09.24,"3,180,895,782원",8,11,28,30,43,45
459,2011.09.17,"1,655,842,233원",4,6,10,14,25,40
458,2011.09.10,"1,608,812,625원",4,9,10,32,36,40
457,2011.09.03,"1,159,902,825원",8,10,18,23,27,40
456,2011.08.27,"1,598,505,054원",1,7,12,18,23,27
455,2011.08.20,"1,635,711,483원",4,19,20,26,30,35
454,2011.08.13,"1,609,125,590원",13,25,27,34,38,41
